frame,cx,cy
856,697.25,405.5
858,684.75,409.75
859,675,414.5
861,664.75,414.25
862,663,415.75
863,652.75,416
864,649,415.25
865,640.25,415.75
866,636.25,409.25
867,625.75,410
868,622.25,407.75
869,616.5,404.5
870,612.5,402
871,610,396.25
872,608.25,394
873,606.25,390
874,595.5,389
875,590,385.75
876,587.25,383.75
877,586,376
878,585.625,372.25
879,585.375,368.5
880,583.625,366.5
881,582.875,363
882,582.875,362.5
883,582.25,362
884,580.875,360.5
885,580,361
886,578.75,361.25
887,577.625,360.25
888,576.625,359.25
889,576.5,359
890,575.625,358
891,575.25,357.75
892,574.5,357
893,573.5,356
894,564,355
895,559.625,351.25
896,556.5,346.75
897,554.125,344.5
898,550.75,338.25
899,547,332
900,537.375,329.75
901,531.25,326.5
902,525.25,323.25
903,519.125,321.25
905,498,319
906,489.5,313.25
907,485.5,311
908,476.125,310.375
909,468.625,305.5
910,459.25,299.375
911,453.875,294.5
912,449,290
913,446.5,287.5
914,436.5,288.5
915,434.125,283.25
916,430,278.75
917,428.125,274.25
918,425.25,268.875
919,422,263.625
920,420,258.75
921,418.75,251.875
924,407,236.5
925,404.25,231.375
926,402.75,227.875
928,409.75,210.375
931,401.375,203.875
932,401.125,200.75
933,401.25,197.25
934,400.125,195.75
937,407.25,178.25
938,406.75,174.25
940,408,165.5
941,407.375,162
942,407.375,159.25
943,407,157.25
945,409.375,153.5
946,410.5,153.5
947,414.25,153.375
948,418.75,155.25
951,438.375,157.5
952,441.875,158.5
953,453.625,156.75
954,457.375,158.375
956,471.875,159.875
957,479,161.125
958,488.5,161.625
959,494,163.25
960,502.875,163.75
961,509.25,165.5
962,516,170.125
963,524.75,168.25
964,533.5,170.5
966,548.875,172.25
967,553.25,174.25
969,566.25,173.25
970,570.5,174.25
972,583.5,175.25
973,587.75,176.5
974,594.5,176.875
975,599.5,176.5
976,603.5,176.625
977,609.25,176.5
978,616,176.25
979,619.75,175.5
980,625.25,175.125
981,631.75,172.875
982,635.25,171.25
983,639,167.75
984,644.75,166.5
985,653,166.25
986,657.75,164.875
987,663.75,164
988,667.75,163.625
989,676,163.375
990,684,163.25
991,690.5,161.5
992,697.75,159.875
993,701.75,158.75
994,712.25,157.5
995,716.5,157.375
997,729.5,156.875
998,734,157.125
999,743.25,157.75
1000,747.25,158
1002,759.75,159
1003,763,160.125
1004,769.75,162
1005,773.75,164.875
1006,780.75,168.25
1008,791.25,174.25
1009,794.5,179.25
1010,798,185.25
1011,799.25,193.125
1012,800.5,195.875
1013,802.5,199.25
1014,806,203.75
1016,818.5,211.375
1017,822.75,216
1018,824.25,219.75
1019,826.25,226
1020,813.5,235.375
1021,816,241.75
1023,815.75,256.25
1024,814.25,262.625
1025,816.25,267.75
1026,810.5,273
1027,811,281
1028,809.25,285.25
1029,809,291
1030,805.5,297.25
1031,804.5,303
1032,802.5,310.25
1033,789.5,317.75
1034,789,325
1035,780.75,333
1036,776.75,339.75
1037,762.5,347.25
1038,757.5,352.25
1039,750.25,363.75
1051,634.5,421
1053,617.625,427
1057,584.25,430.75
1058,580.25,431.5
1059,578.5,433.25
1060,573.375,434.75
1061,566.25,436.5
1062,560.625,440.25
1063,550.25,441.25
1064,545.75,444.5
1065,541.5,445.25
1066,536.5,447.75
1067,530.75,449
1068,520.5,452.5
1069,513,451.75
1070,508.75,451.75
1071,504.875,452.25
1072,499.75,452.75
1073,489.375,458.25
1074,483.25,459.5
1075,473.75,462.75
1076,468.5,467.25
1077,461.25,470
1078,453.5,474
1079,448.625,479.5
1080,443.125,485
1081,440.5,489
1082,438.5,497.75
1083,436.125,500.75
1084,433.75,504
1085,433.75,507
1086,436.375,508.5
1087,438.875,510.25
1088,443.5,512.25
1089,450.875,518.25
1090,455.25,518
1091,460,513.25
